Ni,Ti,Si,Co,Pd,Mo,Fe,V,Cr,Al,Zr,Nb,Mn,Ta,Cu,Hf,Pt,B,HT-1K,HT-2K,T-min,As,Af,Ms,Mf,MsK,HT-1,HT-2,T,th
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,1223,1173,60,208,237,195,172,468,950,900,1,
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,1223,1173,60,198,219,195,169,468,950,900,1,
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,1223,273,0,201,219,196,164,469,950,0,0,
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,1223,273,0,204,251,196,150,469,950,0,0,
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,1223,1173,60,205,245,197,159,470,950,900,1,
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,1223,1173,60,201,222,197,171,470,950,900,1,
20,50,0,0,25,0,0,0,0,0,0,0,0,0,5,0,0,0,1223,1173,60,209,229,199,171,472,950,900,1,
15,50,0,0,30,0,0,0,0,0,0,0,0,0,5,0,0,0,1223,773,30,210,258,201,170,474,950,500,0.5,
15,50,0,0,30,0,0,0,0,0,0,0,0,0,5,0,0,0,1223,773,60,216,261,201,169,474,950,500,1,
15,50,0,0,30,0,0,0,0,0,0,0,0,0,5,0,0,0,1223,1173,60,166,243,201,125,474,950,900,1,
15,50,0,0,30,0,0,0,0,0,0,0,0,0,5,0,0,0,1223,1173,60,163,248,201,122,474,950,900,1,
20,50,0,0,25,0,0,0,0,0,0,0,0,0,5,0,0,0,1223,673,60,208,249,202,155,475,950,400,1,
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,1223,1173,60,223,254,203,183,476,950,900,1,
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,1223,1173,60,220,261,204,180,477,950,900,1,
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,1223,1173,60,211,254,205,166,478,950,900,1,
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,1223,1173,60,211,236,206,176,479,950,900,1,
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,1223,1173,60,208,245,208,179,481,950,900,1,
