Ni,Ti,Si,Co,Pd,Mo,Fe,V,Cr,Al,Zr,Nb,Mn,Ta,Cu,Hf,Pt,B,HT-1,HT-2,T,As,Af,Ms,Mf
15,50,0,0,30,0,0,0,0,0,0,0,0,0,5,0,0,0,950,700,1,255,266,248,234
15,50,0,0,30,0,0,0,0,0,0,0,0,0,5,0,0,0,950,500,0.5,244,310,247,194
15,50,0,0,30,0,0,0,0,0,0,0,0,0,5,0,0,0,950,500,1,225,309,248,186
15,50,0,0,30,0,0,0,0,0,0,0,0,0,5,0,0,0,950,900,1,249,262,249,234
20,50,0,0,25,0,0,0,0,0,0,0,0,0,5,0,0,0,950,900,1,242,311,249,193
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,950,700,1,236,294,253,194
20,50,0,0,25,0,0,0,0,0,0,0,0,0,5,0,0,0,950,700,1,247,310,253,196
15,50,0,0,30,0,0,0,0,0,0,0,0,0,5,0,0,0,950,500,0.5,244,320,254,197
15,50,0,0,30,0,0,0,0,0,0,0,0,0,5,0,0,0,950,700,1,242,316,259,203
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,950,700,1,235,296,252,203
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,950,700,1,229,299,253,203
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,950,700,1,238,298,254,203
20,50,0,0,25,0,0,0,0,0,0,0,0,0,5,0,0,0,950,700,1,241,277,255,204
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,950,900,1,253,299,254,206
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,950,700,1,242,301,251,212
15,50,0,0,30,0,0,0,0,0,0,0,0,0,5,0,0,0,950,500,0.166,271,302,253,223
15,50,0,0,30,0,0,0,0,0,0,0,0,0,5,0,0,0,950,500,1,258,281,255,238
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,950,700,1,258,284,258,230
10,50,0,0,35,0,0,0,0,0,0,0,0,0,5,0,0,0,950,500,1,279,300,264,244
10,50,0,0,35,0,0,0,0,0,0,0,0,0,5,0,0,0,950,500,0.166,277,326,264,230
15,50,0,0,25,0,0,0,0,0,0,0,0,0,10,0,0,0,950,900,1,264,305,262,218
